instrument,frequency_range_hz,tuning_system,primary_engine,practice_context,body_region_focus,session_type,duration_min,notes
Tuning Fork 128 Hz,128,Just Intonation,ARG,"Bone conduction; joint release","Spine; joints; feet",Targeted,15,"Classic Otto fork; apply to bone prominences"
Tuning Fork 136.1 Hz,136.1,Cosmic Octave,"ARG; RPG",Earth Year meditation,"Heart center; sternum",Meditative,20,"Cousto OM fork; heart chakra attunement"
Tuning Fork 528 Hz,528,Solfeggio,"ARG; TBFC",DNA repair / activation ritual,"Solar plexus; forehead",Activation,10,"MI tone; contested claims; use as symbolic/practice tone"
Singing Bowls,200-900,Harmonic series,"ARG; RPG","Sound bath; chakra balancing","Full body; specific chakra",Immersive,30,"Bowl size determines fundamental; overtones rich"
Voice / Chanting,80-500,Variable / modal,"ARG; RPG; MM","Mantra; toning; overtone singing","Thoracic cavity; cranium",Active / Meditative,20,"Vagal stimulation via phonation; practice framing only"
Digital Altar Synthesizer,All ranges,Programmable,"ARG; TBFC",Custom frequency sessions,Variable,Custom,15,"Software-defined; binaural and isochronic modes possible"
Binaural Beat Generator,1-40 difference,Equal temperament,"RPG; TBFC",Brainwave entrainment,Neurological / whole brain,Entrainment,25,"Requires headphones; difference tone equals target state"
Drum / Frame Drum,50-200,Non-pitched,"RPG; MM","Shamanic journey; grounding","Root; sacral; whole body",Rhythmic,20,"4-7 Hz repetition rate may support theta-like practice framing"
Gong Symphonic,50-5000,Harmonic / inharmonic,"ARG; RPG","Sound bath; catharsis",Full body immersion,Immersive,30,"Rich harmonic and sub-harmonic content"
Body Percussion,Variable,Rhythmic,"RPG; MM",Embodied rhythm practice,"Chest; thighs; abdomen",Active,10,"Combines proprioceptive and auditory input"
EMS / TENS Device,1-150 pulse,Electronic pulse,TBFC,"Pain management; muscle activation",Local target tissue,Therapeutic,20,"Medical device; consult qualified practitioner; not generalized guidance"
Vibration Platform,15-60,Mechanical,TBFC,Whole-body vibration therapy,"Lower body; spine",Somatic,15,"Potential bone density / lymphatic support claims need evidence boundaries"
